Version #9: 8/7/2020,,,,,,,,,,,,,,,,,,
"Description: Counties with accessible data (denoted with ""X"") from the datasets listed in the column headings",,,,,,,,,,,,,,,,,,
County id,County,State,Country,JHU,NYT: Case Counts,University of Washington,US Census Bureau: Demographic Estimates,Corona Data Scraper,Google,Apple,IBM Weather,NYT: All Cause Mortality,PlaceIQ,US Bureau of Labor Statistics,Realtor.com,Bureau of Economic Analysis,Opportunity Insights,US CDC: Select Demographic Characteristics
Escambia_Alabama_UnitedStates,Escambia,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Etowah_Alabama_UnitedStates,Etowah,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Fayette_Alabama_UnitedStates,Fayette,Alabama,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Franklin_Alabama_UnitedStates,Franklin,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Geneva_Alabama_UnitedStates,Geneva,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Greene_Alabama_UnitedStates,Greene,Alabama,United States,X,X,,X,X,X,X,X,,,X,,X,X,X
Hale_Alabama_UnitedStates,Hale,Alabama,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Henry_Alabama_UnitedStates,Henry,Alabama,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Houston_Alabama_UnitedStates,Houston,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Jackson_Alabama_UnitedStates,Jackson,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Jefferson_Alabama_UnitedStates,Jefferson,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Lamar_Alabama_UnitedStates,Lamar,Alabama,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Lauderdale_Alabama_UnitedStates,Lauderdale,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Lawrence_Alabama_UnitedStates,Lawrence,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Lee_Alabama_UnitedStates,Lee,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Limestone_Alabama_UnitedStates,Limestone,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Lowndes_Alabama_UnitedStates,Lowndes,Alabama,United States,X,X,,X,X,X,X,X,,,X,,X,X,X
Macon_Alabama_UnitedStates,Macon,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Madison_Alabama_UnitedStates,Madison,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Marengo_Alabama_UnitedStates,Marengo,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Marion_Alabama_UnitedStates,Marion,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Marshall_Alabama_UnitedStates,Marshall,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Mobile_Alabama_UnitedStates,Mobile,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Monroe_Alabama_UnitedStates,Monroe,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Montgomery_Alabama_UnitedStates,Montgomery,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Morgan_Alabama_UnitedStates,Morgan,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Perry_Alabama_UnitedStates,Perry,Alabama,United States,X,X,,X,X,X,,X,,,X,,X,X,X
Pickens_Alabama_UnitedStates,Pickens,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Pike_Alabama_UnitedStates,Pike,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Randolph_Alabama_UnitedStates,Randolph,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Russell_Alabama_UnitedStates,Russell,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
St.Clair_Alabama_UnitedStates,St. Clair,Alabama,United States,X,,,X,X,X,X,X,,,,,,,
Shelby_Alabama_UnitedStates,Shelby,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Sumter_Alabama_UnitedStates,Sumter,Alabama,United States,X,X,,X,X,X,X,X,,,X,,X,X,X
Talladega_Alabama_UnitedStates,Talladega,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Tallapoosa_Alabama_UnitedStates,Tallapoosa,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Tuscaloosa_Alabama_UnitedStates,Tuscaloosa,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Walker_Alabama_UnitedStates,Walker,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Washington_Alabama_UnitedStates,Washington,Alabama,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Wilcox_Alabama_UnitedStates,Wilcox,Alabama,United States,X,X,,X,X,X,,X,,,X,,X,X,X
Winston_Alabama_UnitedStates,Winston,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
AleutiansEast_Alaska_UnitedStates,Aleutians East,Alaska,United States,X,,,X,,,,X,,,X,,X,X,X
AleutiansWest_Alaska_UnitedStates,Aleutians West,Alaska,United States,X,,,X,,,,X,,,X,,X,,X
Anchorage_Alaska_UnitedStates,Anchorage,Alaska,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Bethel_Alaska_UnitedStates,Bethel,Alaska,United States,X,X,,X,X,X,,X,,,X,,X,X,X
BristolBay_Alaska_UnitedStates,Bristol Bay,Alaska,United States,X,,,X,,,,X,,,X,,X,,X
Denali_Alaska_UnitedStates,Denali,Alaska,United States,X,,,X,,,,X,,,X,,X,,X
Dillingham_Alaska_UnitedStates,Dillingham,Alaska,United States,X,,,X,,,,X,,,X,,X,,X
FairbanksNorthStar_Alaska_UnitedStates,Fairbanks North Star,Alaska,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Haines_Alaska_UnitedStates,Haines,Alaska,United States,X,,,X,,,,X,,,X,,,,X
Hoonah-Angoon_Alaska_UnitedStates,Hoonah-Angoon,Alaska,United States,X,,,X,,,,,,,X,,X,,X
Juneau_Alaska_UnitedStates,Juneau,Alaska,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
KenaiPeninsula_Alaska_UnitedStates,Kenai Peninsula,Alaska,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
KetchikanGateway_Alaska_UnitedStates,Ketchikan Gateway,Alaska,United States,X,X,,X,X,X,,X,,,X,,X,X,X
KodiakIsland_Alaska_UnitedStates,Kodiak Island,Alaska,United States,X,X,,X,X,X,,X,,,X,,X,X,X
Kusilvak_Alaska_UnitedStates,Kusilvak,Alaska,United States,X,,,X,,,,X,,,X,,X,,X
LakeandPeninsula_Alaska_UnitedStates,Lake and Peninsula,Alaska,United States,X,,,X,,,,X,,,X,,X,,X
Matanuska-Susitna_Alaska_UnitedStates,Matanuska-Susitna,Alaska,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Nome_Alaska_UnitedStates,Nome,Alaska,United States,X,X,,X,X,,,X,,,X,,X,,X
NorthSlope_Alaska_UnitedStates,North Slope,Alaska,United States,X,,,X,,X,,X,,,X,,X,,X
NorthwestArctic_Alaska_UnitedStates,Northwest Arctic,Alaska,United States,X,,,X,X,,,X,,,X,,X,,X
Petersburg_Alaska_UnitedStates,Petersburg,Alaska,United States,X,X,,X,X,,,X,,,X,,X,,X
PrinceofWales-Hyder_Alaska_UnitedStates,Prince of Wales-Hyder,Alaska,United States,X,,,X,X,,,X,,,X,,X,,X
Sitka_Alaska_UnitedStates,Sitka,Alaska,United States,X,X,,X,X,X,,X,,,X,,X,X,X
Skagway_Alaska_UnitedStates,Skagway,Alaska,United States,X,,,X,,,,X,,,X,,X,,X
SoutheastFairbanks_Alaska_UnitedStates,Southeast Fairbanks,Alaska,United States,X,X,,X,X,X,,X,,,X,,X,X,X
Valdez-Cordova_Alaska_UnitedStates,Valdez-Cordova,Alaska,United States,X,,,X,X,X,,X,,,X,,X,X,X
Wrangell_Alaska_UnitedStates,Wrangell,Alaska,United States,X,,,X,,,,X,,,X,,X,,X
Yakutat_Alaska_UnitedStates,Yakutat,Alaska,United States,X,,,X,,,,,,,X,,X,,X
Yukon-Koyukuk_Alaska_UnitedStates,Yukon-Koyukuk,Alaska,United States,X,X,,X,X,,,X,,,X,,X,,X
Apache_Arizona_UnitedStates,Apache,Arizona,United States,X,X,,X,X,X,X,X,,,X,,X,X,X
Cochise_Arizona_UnitedStates,Cochise,Arizona,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Coconino_Arizona_UnitedStates,Coconino,Arizona,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Gila_Arizona_UnitedStates,Gila,Arizona,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Graham_Arizona_UnitedStates,Graham,Arizona,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Greenlee_Arizona_UnitedStates,Greenlee,Arizona,United States,X,X,,X,X,X,,X,,,X,,X,X,X
LaPaz_Arizona_UnitedStates,La Paz,Arizona,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Maricopa_Arizona_UnitedStates,Maricopa,Arizona,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Mohave_Arizona_UnitedStates,Mohave,Arizona,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Navajo_Arizona_UnitedStates,Navajo,Arizona,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Pima_Arizona_UnitedStates,Pima,Arizona,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Pinal_Arizona_UnitedStates,Pinal,Arizona,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
SantaCruz_Arizona_UnitedStates,Santa Cruz,Arizona,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Yavapai_Arizona_UnitedStates,Yavapai,Arizona,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Yuma_Arizona_UnitedStates,Yuma,Arizona,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Arkansas_Arkansas_UnitedStates,Arkansas,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Ashley_Arkansas_UnitedStates,Ashley,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Baxter_Arkansas_UnitedStates,Baxter,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Benton_Arkansas_UnitedStates,Benton,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Boone_Arkansas_UnitedStates,Boone,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Bradley_Arkansas_UnitedStates,Bradley,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Calhoun_Arkansas_UnitedStates,Calhoun,Arkansas,United States,X,,,X,X,,,X,,,X,,X,,X
Carroll_Arkansas_UnitedStates,Carroll,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Chicot_Arkansas_UnitedStates,Chicot,Arkansas,United States,X,X,,X,X,X,X,X,,,X,,X,X,X
Clark_Arkansas_UnitedStates,Clark,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Clay_Arkansas_UnitedStates,Clay,Arkansas,United States,X,X,,X,X,X,,X,,X,X,,X,,X
Cleburne_Arkansas_UnitedStates,Cleburne,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Cleveland_Arkansas_UnitedStates,Cleveland,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Columbia_Arkansas_UnitedStates,Columbia,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Conway_Arkansas_UnitedStates,Conway,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Craighead_Arkansas_UnitedStates,Craighead,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Crawford_Arkansas_UnitedStates,Crawford,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Crittenden_Arkansas_UnitedStates,Crittenden,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Cross_Arkansas_UnitedStates,Cross,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,,X
Dallas_Arkansas_UnitedStates,Dallas,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Desha_Arkansas_UnitedStates,Desha,Arkansas,United States,X,X,,X,X,X,X,X,,,X,,X,,X
Drew_Arkansas_UnitedStates,Drew,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Faulkner_Arkansas_UnitedStates,Faulkner,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Franklin_Arkansas_UnitedStates,Franklin,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Fulton_Arkansas_UnitedStates,Fulton,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Garland_Arkansas_UnitedStates,Garland,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Grant_Arkansas_UnitedStates,Grant,Arkansas,United States,X,X,,X,X,X,X,X,,,X,,X,,X
Greene_Arkansas_UnitedStates,Greene,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Hempstead_Arkansas_UnitedStates,Hempstead,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
HotSpring_Arkansas_UnitedStates,Hot Spring,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Howard_Arkansas_UnitedStates,Howard,Arkansas,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Independence_Arkansas_UnitedStates,Independence,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Izard_Arkansas_UnitedStates,Izard,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Jackson_Arkansas_UnitedStates,Jackson,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,,X
Jefferson_Arkansas_UnitedStates,Jefferson,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Johnson_Arkansas_UnitedStates,Johnson,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Lafayette_Arkansas_UnitedStates,Lafayette,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Lawrence_Arkansas_UnitedStates,Lawrence,Arkansas,United States,X,X,,X,X,X,X,X,,,X,,X,X,X
Lee_Arkansas_UnitedStates,Lee,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Lincoln_Arkansas_UnitedStates,Lincoln,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
LittleRiver_Arkansas_UnitedStates,Little River,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Logan_Arkansas_UnitedStates,Logan,Arkansas,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Lonoke_Arkansas_UnitedStates,Lonoke,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Madison_Arkansas_UnitedStates,Madison,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,,X
Marion_Arkansas_UnitedStates,Marion,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,X,X
Miller_Arkansas_UnitedStates,Miller,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Mississippi_Arkansas_UnitedStates,Mississippi,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Monroe_Arkansas_UnitedStates,Monroe,Arkansas,United States,X,X,,X,X,X,X,X,,,X,,X,,X
Montgomery_Arkansas_UnitedStates,Montgomery,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Nevada_Arkansas_UnitedStates,Nevada,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Newton_Arkansas_UnitedStates,Newton,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Ouachita_Arkansas_UnitedStates,Ouachita,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Perry_Arkansas_UnitedStates,Perry,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Phillips_Arkansas_UnitedStates,Phillips,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Pike_Arkansas_UnitedStates,Pike,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Poinsett_Arkansas_UnitedStates,Poinsett,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Polk_Arkansas_UnitedStates,Polk,Arkansas,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Pope_Arkansas_UnitedStates,Pope,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Prairie_Arkansas_UnitedStates,Prairie,Arkansas,United States,X,X,,X,X,X,X,X,,,X,,X,,X
Pulaski_Arkansas_UnitedStates,Pulaski,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Randolph_Arkansas_UnitedStates,Randolph,Arkansas,United States,X,X,,X,X,X,,X,,X,X,,X,,X
St.Francis_Arkansas_UnitedStates,St. Francis,Arkansas,United States,X,,,X,X,X,X,X,,,,,,,
Saline_Arkansas_UnitedStates,Saline,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Scott_Arkansas_UnitedStates,Scott,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Searcy_Arkansas_UnitedStates,Searcy,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Sebastian_Arkansas_UnitedStates,Sebastian,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Sevier_Arkansas_UnitedStates,Sevier,Arkansas,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Sharp_Arkansas_UnitedStates,Sharp,Arkansas,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Stone_Arkansas_UnitedStates,Stone,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Union_Arkansas_UnitedStates,Union,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
VanBuren_Arkansas_UnitedStates,Van Buren,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,,X,,X
Washington_Arkansas_UnitedStates,Washington,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
White_Arkansas_UnitedStates,White,Arkansas,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Woodruff_Arkansas_UnitedStates,Woodruff,Arkansas,United States,X,X,,X,X,X,,X,,,X,,X,,X
Yell_Arkansas_UnitedStates,Yell,Arkansas,United States,X,X,,X,X,X,X,X,,,X,,X,,X
Alameda_California_UnitedStates,Alameda,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Alpine_California_UnitedStates,Alpine,California,United States,X,X,,X,X,,,X,,,X,,X,X,X
Amador_California_UnitedStates,Amador,California,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Butte_California_UnitedStates,Butte,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Calaveras_California_UnitedStates,Calaveras,California,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Colusa_California_UnitedStates,Colusa,California,United States,X,X,,X,X,X,X,X,,,X,,X,X,X
ContraCosta_California_UnitedStates,Contra Costa,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
DelNorte_California_UnitedStates,Del Norte,California,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
ElDorado_California_UnitedStates,El Dorado,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Fresno_California_UnitedStates,Fresno,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Glenn_California_UnitedStates,Glenn,California,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Humboldt_California_UnitedStates,Humboldt,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Imperial_California_UnitedStates,Imperial,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Inyo_California_UnitedStates,Inyo,California,United States,X,X,,X,X,X,X,X,,,X,,X,X,X
Kern_California_UnitedStates,Kern,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Kings_California_UnitedStates,Kings,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Lake_California_UnitedStates,Lake,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Lassen_California_UnitedStates,Lassen,California,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
LosAngeles_California_UnitedStates,Los Angeles,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Madera_California_UnitedStates,Madera,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Marin_California_UnitedStates,Marin,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Mariposa_California_UnitedStates,Mariposa,California,United States,X,X,,X,X,X,X,X,,,X,,X,X,X
Mendocino_California_UnitedStates,Mendocino,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Merced_California_UnitedStates,Merced,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Modoc_California_UnitedStates,Modoc,California,United States,X,X,,X,X,X,,X,,,X,,X,X,X
Mono_California_UnitedStates,Mono,California,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Monterey_California_UnitedStates,Monterey,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Napa_California_UnitedStates,Napa,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Nevada_California_UnitedStates,Nevada,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Orange_California_UnitedStates,Orange,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Placer_California_UnitedStates,Placer,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Plumas_California_UnitedStates,Plumas,California,United States,X,X,,X,X,X,,X,,,X,,X,X,X
Riverside_California_UnitedStates,Riverside,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Sacramento_California_UnitedStates,Sacramento,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
SanBenito_California_UnitedStates,San Benito,California,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
SanBernardino_California_UnitedStates,San Bernardino,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
SanDiego_California_UnitedStates,San Diego,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
SanFrancisco_California_UnitedStates,San Francisco,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
SanJoaquin_California_UnitedStates,San Joaquin,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
SanLuisObispo_California_UnitedStates,San Luis Obispo,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
SanMateo_California_UnitedStates,San Mateo,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
SantaBarbara_California_UnitedStates,Santa Barbara,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
SantaClara_California_UnitedStates,Santa Clara,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
SantaCruz_California_UnitedStates,Santa Cruz,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Shasta_California_UnitedStates,Shasta,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Sierra_California_UnitedStates,Sierra,California,United States,X,X,,X,X,,,X,,,X,,X,X,X
Siskiyou_California_UnitedStates,Siskiyou,California,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Solano_California_UnitedStates,Solano,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Sonoma_California_UnitedStates,Sonoma,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Stanislaus_California_UnitedStates,Stanislaus,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Sutter_California_UnitedStates,Sutter,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Tehama_California_UnitedStates,Tehama,California,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Trinity_California_UnitedStates,Trinity,California,United States,X,X,,X,X,X,,X,,,X,,X,X,X
